Epoch	Training Loss	Training Accuracy	Validation Loss	Validation Accuracy
0	4.58531841095662	12.038590604026846	4.5508934183965755	14.767932489451477
1	4.507869723659233	15.971057046979865	4.503870056651313	16.060126582278482
2	4.470082826262352	18.403942953020135	4.486643997425771	16.798523206751057
3	4.446117160304281	20.763422818791945	4.462316795743467	19.64662447257384
4	4.4215146071158795	22.829278523489933	4.4482592299014705	20.411392405063292
5	4.40318424269657	24.234479865771814	4.437305436355655	21.940928270042193
6	4.381685108946474	28.50251677852349	4.414322847052466	25.632911392405063
7	4.347337786783308	32.85444630872483	4.400317842950297	28.718354430379748
8	4.321681143453457	35.413171140939596	4.38557770584203	28.90295358649789
9	4.300156697330859	36.95469798657718	4.376514271844791	30.432489451476794
10	4.281602455465586	38.89471476510067	4.363889843099731	31.408227848101266
11	4.265717766828985	40.52013422818792	4.36518082437636	31.197257383966246
12	4.2520436808566915	41.82046979865772	4.35312274538515	31.69831223628692
13	4.234476354698207	43.624161073825505	4.347001067696745	32.858649789029535
14	4.221043455120701	44.36870805369127	4.335200466687167	33.333333333333336
15	4.2087709455682125	45.13422818791946	4.330289829632401	33.83438818565401
16	4.197886031746064	46.53942953020134	4.327260407717419	35.073839662447256
17	4.180460587843952	48.636744966442954	4.313631414864133	36.953737191078964
18	4.164399523463025	50.70260067114094	4.2973382161136415	38.48327305605786
19	4.146178482362888	52.705536912751676	4.294289048713974	40.22377938517179
20	4.130781977368681	54.488255033557046	4.276320603326403	40.64572031344183
21	4.115116036978344	55.903942953020135	4.273434265756406	41.6214587100663
22	4.102366705868868	56.889681208053695	4.2647187287294415	42.31464737793851
23	4.089909606331947	58.28439597315436	4.264326143868362	42.78933092224231
24	4.073166903233368	59.99370805369127	4.25390298758881	42.76295961422543
25	4.060691055435463	60.94798657718121	4.25545224559961	43.45614828209765
26	4.051959803040396	61.64010067114094	4.242306265649916	44.53737191078963
27	4.041245320899375	62.24832214765101	4.235708406705896	44.985684147076554
28	4.030913470575474	63.35989932885906	4.237755378087361	45.56585292344786
29	4.020266403287849	64.67072147651007	4.230161237314281	45.961422543701026
30	4.009081010850484	66.31711409395973	4.230036816013513	46.17239300783605
31	3.992482715805105	67.95302013422818	4.217021330499448	47.51732971669681
32	3.982127177235264	68.52978187919463	4.217582410900905	47.51732971669681
33	3.973849242165585	69.15897651006712	4.20171123617309	48.097498493068116
34	3.9656400640538876	70.06082214765101	4.204374564850884	48.4666968053044
35	3.956507951621241	70.5746644295302	4.199471866028218	48.49306811332128
36	3.947117909489062	71.34018456375838	4.1972969171870105	49.49517781796263
37	3.939798681127945	72.25251677852349	4.189206228980535	49.49517781796263
38	3.9298463539789186	73.09144295302013	4.18584076161123	49.838004822182036
39	3.925245170625264	73.47944630872483	4.180739298148497	50.497287522603976
40	3.9173919854548154	74.20302013422818	4.185152905902782	49.70614828209765
41	3.908592692557597	75.16778523489933	4.179360158332792	49.838004822182036
42	3.904453900836458	75.07340604026845	4.174608336219305	50.357896323086194
43	3.9004384495267934	75.32508389261746	4.1676566097806775	50.7007233273056
44	3.892005556381789	76.33179530201342	4.170229506392016	50.3503616636528
45	3.883376105519749	77.14974832214764	4.169710764905068	50.527426160337555
46	3.879269054672062	77.65310402684564	4.153666146193879	52.81796262808921
47	3.8737373592069484	78.04110738255034	4.163933449153658	51.552139843279086
48	3.867136561230525	78.85906040268456	4.162257343404907	51.49186256781193
49	3.861647307472741	79.34144295302013	4.157013917271095	52.38848704038577
50	3.8539975621556275	80.19085570469798	4.14935107170781	53.02139843279083
51	3.8465345909931514	81.04026845637584	4.144963445542734	53.213532248342375
52	3.8427207377933015	81.25	4.148954624868144	52.78405666063893
53	3.8382514515179116	81.76384228187919	4.1532680706635805	52.1172393007836
54	3.830615247656035	82.39303691275168	4.144953859506277	53.38306208559373
55	3.828920802013986	82.59228187919463	4.13861551566466	53.76732971669681
56	3.8215515861575233	83.16904362416108	4.139840580743074	53.575195901145264
57	3.8173011649374993	83.64093959731544	4.139504696246441	53.83137432188065
58	3.8110700009653233	84.61619127516778	4.14165527206936	53.46217600964436
59	3.802813378756478	85.52852348993288	4.154378969458085	52.3545810729355
60	3.7965121501244155	85.98993288590604	4.128988853486781	54.67525617842073
61	3.7930609831874	86.49328859060402	4.130224228911259	54.38517179023508
62	3.7874098832175234	86.89177852348993	4.122227808594201	55.45886075949367
63	3.7823334916326026	87.3741610738255	4.118750816659082	55.48523206751055
64	3.7760688442511845	87.90897651006712	4.119749854888594	56.40822784810127
65	3.770962676745933	88.2760067114094	4.11528102657463	56.51371308016878
66	3.766154149634726	88.83179530201342	4.120369599338322	55.300632911392405
67	3.762146645744375	89.57634228187919	4.112290220421578	56.4873417721519
68	3.7583104768055398	89.94337248322148	4.122837219560196	55.93354430379747
69	3.7511137059870983	90.45721476510067	4.116923040478541	55.880801687763714
70	3.7453125915271324	91.1493288590604	4.120025994908458	55.82805907172996
71	3.7402856161930416	91.45343959731544	4.111103991415933	56.25753465943339
72	3.7367272705039722	91.58976510067114	4.110567002356807	56.32911392405063
73	3.7349556280462535	91.78901006711409	4.123695915761377	54.85232067510549
74	3.72843844858592	92.4496644295302	4.113987792896319	55.711271850512354
75	3.7253071645762295	92.70134228187919	4.126839000967484	54.5961422543701
76	3.7218611180382286	92.95302013422818	4.121930405057432	55.01808318264014
77	3.7199422501077586	93.41442953020135	4.120231078143864	54.965340566606386
78	3.7155274032746384	93.81291946308725	4.116212122550997	55.56434599156118
79	3.711045624425747	94.06459731543625	4.107036025212284	56.302742616033754
80	3.7063971697884117	94.44211409395973	4.129369326281648	54.324894514767934
81	3.703358523397638	94.80914429530202	4.119684868221041	54.85232067510549
82	3.6996229490977806	94.87206375838926	4.116536299387614	55.01054852320675
83	3.6971979125234107	95.1761744966443	4.130457610520632	53.982067510548525
84	3.6942748295380765	95.63758389261746	4.112999406041978	55.80168776371308
85	3.6905769137728135	95.82634228187919	4.112735318735179	55.24789029535865
86	3.6900511063985375	95.86828859060402	4.115574115439307	55.85443037974684
87	3.687950526307893	96.04656040268456	4.10889585712288	55.80168776371308
88	3.685176353726611	96.28775167785236	4.111923659401101	55.32700421940928
89	3.6828132979821837	96.45553691275168	4.102798829098794	56.17088607594937
90	3.6796905014338908	96.72818791946308	4.09553882944936	56.7246835443038
91	3.6772120674984565	96.88548657718121	4.107709354489161	55.782851115129596
92	3.6755937653899995	96.92743288590604	4.1044777556310725	56.302742616033754
93	3.6744929984111914	97.04278523489933	4.111504835418508	55.45886075949367
94	3.674069451405698	96.96937919463087	4.099462344173641	55.880801687763714
95	3.6713181302051416	97.10570469798658	4.113034097454216	55.66983122362869
96	3.671454892062501	97.14765100671141	4.103480627768151	55.82805907172996
97	3.6693774437744344	97.31543624161074	4.104150098084397	55.98628691983122
98	3.668571181745337	97.45176174496645	4.111239405120978	54.825949367088604
